Date,Product,Category,Region,Units,Revenue
2024-07-23,Blender,Home,West,8,6864
2024-03-20,Sunglasses,Accessories,South,3,1761
2023-11-07,Headphones,Electronics,South,9,8172
2023-04-21,T-shirt,Fashion,South,6,7188
2023-07-27,Laptop,Electronics,East,8,3984
2024-04-29,T-shirt,Fashion,South,5,3580
2024-06-02,T-shirt,Fashion,West,1,228
2023-10-15,Jacket,Fashion,North,2,1472
2024-11-25,Watch,Accessories,West,9,8973
2024-07-07,Laptop,Electronics,West,7,8204
2024-04-06,Jacket,Fashion,North,10,10630
2023-08-17,Sunglasses,Accessories,North,7,7665
2024-06-11,Headphones,Electronics,West,6,1980
2023-11-26,Backpack,Accessories,North,10,4320
2024-09-01,Laptop,Electronics,South,3,489
2024-03-16,Desk Lamp,Home,East,3,1323
2024-04-30,Shoes,Fashion,North,4,1944
2023-02-08,Smartphone,Electronics,South,7,959
2023-11-04,Headphones,Electronics,East,2,1182
2023-09-02,Backpack,Accessories,North,8,7696
2023-11-22,Coffee Maker,Home,South,3,3321
2023-04-16,Smartphone,Electronics,South,10,610
2023-03-31,Laptop,Electronics,North,4,4040
2024-07-27,Coffee Maker,Home,East,7,2324
2023-09-10,Backpack,Accessories,North,9,3753
2024-04-06,Watch,Accessories,West,7,1890
2024-07-07,Shoes,Fashion,North,10,4830
2024-08-18,Desk Lamp,Home,North,2,1098
2024-12-03,Jacket,Fashion,South,7,1862
2023-12-15,Backpack,Accessories,East,9,3762
2024-03-04,Sunglasses,Accessories,South,2,1702
2023-12-30,Jacket,Fashion,South,8,2712
2024-12-21,Desk Lamp,Home,East,6,2844
2024-11-18,Watch,Accessories,West,3,2754
2023-08-14,Desk Lamp,Home,East,8,2984
2024-12-25,Coffee Maker,Home,North,1,831
2023-11-03,Backpack,Accessories,West,1,787
2024-01-07,Blender,Home,West,5,995
2024-12-06,Coffee Maker,Home,North,8,6568
2024-10-24,Jacket,Fashion,North,8,6960
2023-08-26,Shoes,Fashion,North,4,884
2023-07-30,Backpack,Accessories,West,8,7376
2024-12-31,Smartphone,Electronics,North,1,118
2023-03-02,Shoes,Fashion,West,5,3570
2024-07-15,Desk Lamp,Home,East,3,543
2023-03-09,Coffee Maker,Home,North,5,5350
2024-03-27,Desk Lamp,Home,East,6,6528
2024-03-04,Coffee Maker,Home,West,2,1496
2023-05-24,Headphones,Electronics,South,2,1324
2024-11-27,Backpack,Accessories,East,6,6024
2024-01-04,Watch,Accessories,South,5,1590
2023-06-05,Jacket,Fashion,North,1,53
2024-08-01,Headphones,Electronics,East,1,1195
2024-03-08,Laptop,Electronics,South,2,2350
2024-05-18,Sunglasses,Accessories,North,5,265
2024-01-08,Backpack,Accessories,South,1,871
2024-03-30,Smartphone,Electronics,North,6,4338
2023-06-08,Backpack,Accessories,West,10,5800
2023-09-27,T-shirt,Fashion,West,7,7945
2024-01-06,Watch,Accessories,West,4,2212
2023-10-13,Desk Lamp,Home,West,3,2343
2024-04-13,Watch,Accessories,North,2,42
2024-01-31,Shoes,Fashion,East,1,816
2024-09-05,Laptop,Electronics,East,1,322
2023-06-25,Sunglasses,Accessories,South,5,1215
2024-05-12,Smartphone,Electronics,South,2,2320
2024-01-17,Shoes,Fashion,North,6,1290
2023-08-11,T-shirt,Fashion,West,7,4410
2023-11-08,Laptop,Electronics,South,8,856
2024-04-02,Shoes,Fashion,East,9,3222
2023-04-19,Blender,Home,North,5,4230
2024-11-04,Desk Lamp,Home,South,7,7007
2024-06-24,Headphones,Electronics,West,4,4236
2024-11-06,Coffee Maker,Home,South,3,1026
2023-08-05,Laptop,Electronics,West,3,1524
2024-12-04,Backpack,Accessories,South,10,4020
2023-09-16,Coffee Maker,Home,South,7,189
2023-01-05,Shoes,Fashion,East,8,3880
2023-11-14,Jacket,Fashion,South,9,4662
2023-05-22,Laptop,Electronics,North,2,1930
2024-06-29,Sunglasses,Accessories,West,6,1314
2023-04-05,Headphones,Electronics,East,7,4277
2024-09-26,Jacket,Fashion,North,9,5976
2023-07-07,Shoes,Fashion,North,4,2084
2023-04-10,Jacket,Fashion,South,1,1170
2023-02-16,Laptop,Electronics,West,5,5600
2023-03-05,T-shirt,Fashion,West,7,4417
2023-10-08,Backpack,Accessories,North,9,3933
2023-02-13,Sunglasses,Accessories,North,4,324
2023-04-24,Laptop,Electronics,West,4,4740
2023-05-11,Coffee Maker,Home,East,4,116
2024-11-03,Backpack,Accessories,West,6,7194
2023-05-10,Laptop,Electronics,South,7,2527
2024-06-19,Headphones,Electronics,West,10,7070
2023-01-31,Coffee Maker,Home,East,8,1480
2023-12-09,Sunglasses,Accessories,East,2,1198
2024-05-01,Blender,Home,West,9,3951
2023-11-06,Laptop,Electronics,North,3,1950
2024-07-31,Smartphone,Electronics,North,4,1196
2023-03-17,Jacket,Fashion,West,7,6916
2023-07-08,Watch,Accessories,South,10,3600
2023-02-01,Shoes,Fashion,North,6,426
2023-02-25,Blender,Home,North,4,4160
2024-09-30,Coffee Maker,Home,West,2,382
2023-10-31,Blender,Home,East,2,1430
2023-07-04,Laptop,Electronics,South,8,5960
2023-07-04,Blender,Home,West,9,7407
2023-09-11,Laptop,Electronics,West,4,2632
2023-07-18,Backpack,Accessories,South,2,872
2023-09-24,Backpack,Accessories,South,1,985
2023-01-26,Headphones,Electronics,South,3,2328
2024-12-30,T-shirt,Fashion,North,4,1076
2024-10-30,Blender,Home,East,3,2235
2023-03-04,Coffee Maker,Home,East,4,1176
2023-03-02,T-shirt,Fashion,West,10,5360
2024-06-09,Jacket,Fashion,West,8,4024
2023-09-16,Jacket,Fashion,East,3,1863
2024-04-11,Laptop,Electronics,North,1,591
2023-05-31,Shoes,Fashion,East,10,10430
2024-09-01,Blender,Home,East,3,459
2023-01-03,Headphones,Electronics,West,6,822
2024-05-03,Shoes,Fashion,North,3,228
2024-04-21,Blender,Home,South,4,4084
2023-09-27,T-shirt,Fashion,East,2,846
2024-02-27,Headphones,Electronics,West,8,7112
2023-11-14,T-shirt,Fashion,North,5,3850
2023-05-14,Desk Lamp,Home,East,7,3038
2024-12-31,Headphones,Electronics,East,7,3682
2024-06-28,Coffee Maker,Home,South,10,370
2023-06-20,Desk Lamp,Home,West,1,734
2024-09-18,Headphones,Electronics,North,2,1120
2023-10-21,Coffee Maker,Home,West,5,1130
2023-11-13,Smartphone,Electronics,West,5,235
2024-10-12,Smartphone,Electronics,North,8,7640
2023-10-25,Sunglasses,Accessories,North,2,332
2024-07-27,Smartphone,Electronics,East,8,8832
2024-09-12,Watch,Accessories,West,5,3215
2024-04-26,Jacket,Fashion,North,8,4480
2023-03-31,T-shirt,Fashion,West,7,294
2024-02-05,Coffee Maker,Home,East,7,2835
2024-06-12,Coffee Maker,Home,West,10,910
2023-05-02,Jacket,Fashion,East,8,6288
2023-05-19,Desk Lamp,Home,South,8,5456
2023-04-30,Watch,Accessories,North,8,424
2024-06-01,Headphones,Electronics,North,8,4368
2024-12-19,Headphones,Electronics,North,7,7168
2024-01-11,Watch,Accessories,West,6,5598
2023-03-11,Backpack,Accessories,North,5,2015
2024-01-08,Backpack,Accessories,South,10,4720
2023-11-08,Watch,Accessories,East,6,3228
2023-12-29,T-shirt,Fashion,South,7,2856
2023-11-12,Smartphone,Electronics,South,8,456
2024-06-09,Coffee Maker,Home,West,2,948
2023-11-19,Desk Lamp,Home,South,3,3123
2023-02-14,Coffee Maker,Home,West,1,280
2024-08-03,Coffee Maker,Home,East,4,2652
2024-07-24,Shoes,Fashion,East,6,5478
2023-08-17,Sunglasses,Accessories,East,10,7800
2024-04-02,Headphones,Electronics,East,2,990
2024-11-14,Backpack,Accessories,West,5,4600
2023-02-22,T-shirt,Fashion,South,10,5170
2023-12-18,Smartphone,Electronics,North,4,1292
2024-11-08,Jacket,Fashion,East,1,1124
2023-08-24,Desk Lamp,Home,West,4,4688
2023-05-13,Laptop,Electronics,West,10,10250
2024-06-05,Jacket,Fashion,North,9,2403
2023-04-06,Desk Lamp,Home,North,9,7317
2024-09-08,Headphones,Electronics,North,6,5934
2024-08-07,Backpack,Accessories,North,9,10116
2023-09-01,Shoes,Fashion,North,1,998
2024-10-19,Sunglasses,Accessories,West,5,2750
2023-12-05,Jacket,Fashion,South,5,825
2024-04-20,Headphones,Electronics,South,4,1372
2024-09-21,Backpack,Accessories,North,10,3850
2023-01-19,Headphones,Electronics,West,10,6800
2024-12-18,Sunglasses,Accessories,East,10,9530
2024-06-13,Shoes,Fashion,East,4,152
2024-03-27,Smartphone,Electronics,West,4,1708
2024-07-29,Headphones,Electronics,East,6,2238
2024-10-08,Jacket,Fashion,South,2,1052
2024-07-20,Blender,Home,South,4,4488
2024-08-31,Shoes,Fashion,East,9,927
2023-12-21,Laptop,Electronics,East,9,3906
2024-08-24,Coffee Maker,Home,South,6,7140
2023-10-26,Blender,Home,East,10,9630
2023-11-14,Backpack,Accessories,North,2,1560
2023-11-19,Coffee Maker,Home,South,3,1143
2024-03-08,T-shirt,Fashion,South,10,3170
2023-03-25,Desk Lamp,Home,North,5,730
2024-10-01,Laptop,Electronics,South,6,4668
2024-07-07,Sunglasses,Accessories,South,1,241
2023-07-11,Desk Lamp,Home,North,3,1407
2024-07-15,Watch,Accessories,North,9,5958
2024-10-21,Laptop,Electronics,West,8,4264
2023-07-19,Blender,Home,East,2,1192
2023-10-23,Blender,Home,North,2,952
2024-12-11,Shoes,Fashion,South,7,1092
2023-04-30,Jacket,Fashion,West,9,351
2023-03-02,Sunglasses,Accessories,West,2,742
2023-12-31,Laptop,Electronics,South,5,3505
2023-08-27,Desk Lamp,Home,North,2,1006
2024-07-07,Laptop,Electronics,North,9,6372
2023-06-24,T-shirt,Fashion,South,7,4158
2023-10-03,Blender,Home,North,3,417
2024-12-22,Backpack,Accessories,North,8,1280
2024-05-25,Sunglasses,Accessories,North,2,1320
2024-02-07,Shoes,Fashion,West,7,6083
2023-12-20,Watch,Accessories,North,10,5110
2023-02-24,Blender,Home,South,4,2844
2024-05-21,Coffee Maker,Home,North,9,1359
2024-10-04,T-shirt,Fashion,North,5,5965
2024-10-15,Shoes,Fashion,West,5,4500
2023-06-25,Headphones,Electronics,East,10,2630
2023-11-17,Blender,Home,East,10,11170
2023-01-11,Jacket,Fashion,West,4,2880
2024-09-26,Coffee Maker,Home,West,6,1644
2023-09-23,Sunglasses,Accessories,South,1,132
2023-08-07,Blender,Home,West,6,5364
2024-02-25,Blender,Home,North,5,760
2024-12-24,Desk Lamp,Home,West,5,4190
2024-11-30,Jacket,Fashion,North,5,1610
2023-05-16,Laptop,Electronics,West,4,3564
2023-01-10,Smartphone,Electronics,North,3,3261
2023-01-06,Watch,Accessories,West,5,1615
2023-10-18,Sunglasses,Accessories,West,9,846
2024-06-27,Laptop,Electronics,South,4,2200
2023-10-14,Blender,Home,North,10,11480
2023-02-07,Sunglasses,Accessories,North,2,892
2023-10-05,T-shirt,Fashion,East,8,6464
2023-08-14,Blender,Home,East,4,4224
2023-04-15,Smartphone,Electronics,South,6,720
2024-04-05,Coffee Maker,Home,West,4,4004
2024-12-23,Blender,Home,East,5,2990
2023-11-21,Smartphone,Electronics,West,5,3155
2023-05-01,Watch,Accessories,East,4,4356
2023-07-21,Watch,Accessories,West,9,5202
2023-11-27,Jacket,Fashion,East,10,9000
2023-08-12,Headphones,Electronics,North,9,4041
2024-04-25,Laptop,Electronics,South,8,7056
2023-08-18,Sunglasses,Accessories,West,5,3120
2023-05-03,Sunglasses,Accessories,North,2,1470
2023-07-22,Desk Lamp,Home,South,8,1608
2023-05-23,Backpack,Accessories,East,6,4536
2023-03-17,Laptop,Electronics,East,8,7664
2023-02-28,Sunglasses,Accessories,North,7,3486
2024-01-02,Blender,Home,West,8,2944
2024-02-03,Watch,Accessories,North,6,1272
2024-08-10,Headphones,Electronics,South,9,7416
2023-10-09,Sunglasses,Accessories,North,7,7490
2023-03-03,Desk Lamp,Home,North,7,7252
2023-07-15,Blender,Home,South,4,1744
2024-05-26,Backpack,Accessories,East,2,1028
2024-03-23,Smartphone,Electronics,East,7,4627
2023-04-21,Backpack,Accessories,West,8,4544
2024-07-27,T-shirt,Fashion,South,4,1804
2023-12-01,Desk Lamp,Home,East,6,2586
2024-01-29,Backpack,Accessories,North,3,1407
2024-10-06,Shoes,Fashion,East,7,7420
2023-03-07,Shoes,Fashion,West,8,3624
2024-04-05,Backpack,Accessories,East,10,3410
2024-01-05,Shoes,Fashion,South,6,2760
2024-12-06,Coffee Maker,Home,East,1,887
2023-01-06,Laptop,Electronics,South,9,4194
2023-01-08,Backpack,Accessories,North,9,6093
2024-03-09,Jacket,Fashion,East,6,6126
2023-12-30,Smartphone,Electronics,South,1,479
2024-01-17,Laptop,Electronics,West,1,422
2023-01-14,Desk Lamp,Home,South,5,2065
2023-01-15,Smartphone,Electronics,North,6,6240
2023-12-09,Sunglasses,Accessories,East,5,3175
2023-04-03,Jacket,Fashion,North,8,7688
2023-11-24,Coffee Maker,Home,South,5,1880
2024-09-23,T-shirt,Fashion,West,8,5064
2023-05-19,Blender,Home,East,3,2430
2023-02-05,T-shirt,Fashion,South,1,400
2023-09-13,Watch,Accessories,East,5,4790
2024-12-09,Sunglasses,Accessories,West,9,5337
2023-01-01,Blender,Home,West,5,1240
2024-05-31,Blender,Home,North,5,1240
2024-07-03,Desk Lamp,Home,East,3,111
2024-12-27,Sunglasses,Accessories,West,6,2760
2023-04-04,Sunglasses,Accessories,West,2,1730
2024-09-21,Jacket,Fashion,East,3,3168
2024-09-10,Backpack,Accessories,East,3,69
2024-10-23,Backpack,Accessories,West,5,4760
2024-08-01,Watch,Accessories,North,9,9747
2023-04-01,Shoes,Fashion,South,9,10701
2024-10-10,Headphones,Electronics,East,9,1224
2024-02-23,Watch,Accessories,North,3,3081
2023-09-10,Desk Lamp,Home,North,4,2104
2024-09-02,Blender,Home,West,2,762
2023-11-28,Backpack,Accessories,West,4,1412
2024-04-26,Backpack,Accessories,North,10,10130
2023-09-13,Smartphone,Electronics,East,8,7712
2024-10-08,Backpack,Accessories,East,5,4550
2024-08-15,Headphones,Electronics,West,4,2004
2023-06-29,Coffee Maker,Home,South,1,296
2024-03-16,Backpack,Accessories,East,8,3448
2023-08-18,Backpack,Accessories,North,4,844
2024-10-21,Laptop,Electronics,West,10,5550
2024-04-30,Laptop,Electronics,North,9,2907
2024-04-04,Jacket,Fashion,East,5,2985
2023-12-23,Blender,Home,North,9,5103
2024-12-01,Desk Lamp,Home,North,8,2408
2024-01-17,Shoes,Fashion,South,9,4779
2023-10-12,Blender,Home,West,6,2088
2024-04-23,Jacket,Fashion,South,10,8050
2024-11-16,Smartphone,Electronics,North,7,5047
2024-10-08,Headphones,Electronics,North,6,6534
2023-09-05,Backpack,Accessories,South,10,5350
2023-12-27,Sunglasses,Accessories,South,2,1540
2024-06-18,Jacket,Fashion,South,4,2044
2024-05-10,Smartphone,Electronics,East,9,8856
2024-05-22,Headphones,Electronics,East,9,801
2024-02-27,Coffee Maker,Home,West,1,964
2023-12-03,Blender,Home,West,1,1064
2024-05-02,Backpack,Accessories,West,9,6228
2024-05-21,Watch,Accessories,South,9,8289
2024-10-15,Headphones,Electronics,South,2,1988
2023-07-16,Sunglasses,Accessories,West,10,8150
2024-04-07,Desk Lamp,Home,South,3,2157
2024-01-24,Backpack,Accessories,West,4,704
2023-12-12,Backpack,Accessories,West,2,1810
2023-10-31,Shoes,Fashion,East,2,758
